tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-10-01,3172021004,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,LANSIA,Dosis 1,1770
2021-10-01,3172021006,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,LANSIA,Dosis 1,6810
2021-10-01,3172021002,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,LANSIA,Dosis 1,5224
2021-10-01,3175091004,JAKARTA TIMUR,CIRACAS,SUSUKAN,LANSIA,Dosis 1,2204
2021-10-01,3173031001,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,LANSIA,Dosis 1,1784
2021-10-01,3173041001,JAKARTA BARAT,TAMBORA,TAMBORA,LANSIA,Dosis 1,989
2021-10-01,3173041004,JAKARTA BARAT,TAMBORA,TANAH SEREAL,LANSIA,Dosis 1,2671
2021-10-01,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,2569
2021-10-01,3173031004,JAKARTA BARAT,TAMAN SARI,TANGKI,LANSIA,Dosis 1,1404
2021-10-01,3174091005,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,LANSIA,Dosis 1,2604
2021-10-01,3173021005,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,LANSIA,Dosis 1,2320
2021-10-01,3173021002,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,LANSIA,Dosis 1,2177
2021-10-01,3172021001,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,LANSIA,Dosis 1,1852
2021-10-01,3174011002,JAKARTA SELATAN,TEBET,TEBET BARAT,LANSIA,Dosis 1,2110
2021-10-01,3174011001,JAKARTA SELATAN,TEBET,TEBET TIMUR,LANSIA,Dosis 1,1873
2021-10-01,3173061003,JAKARTA BARAT,KALI DERES,TEGAL ALUR,LANSIA,Dosis 1,3763
2021-10-01,3174031004,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,LANSIA,Dosis 1,1496
2021-10-01,3173021003,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,LANSIA,Dosis 1,2871
2021-10-01,3172031005,JAKARTA UTARA,KOJA,TUGU SELATAN,LANSIA,Dosis 1,1612
2021-10-01,3172031002,JAKARTA UTARA,KOJA,TUGU UTARA,LANSIA,Dosis 1,3204
2021-10-01,3175061006,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,LANSIA,Dosis 1,1791
2021-10-01,3174101005,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,LANSIA,Dosis 1,2257
2021-10-01,3175011006,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,LANSIA,Dosis 1,2650
2021-10-01,3175011002,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,LANSIA,Dosis 1,1822
2021-10-01,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,1584
2021-10-01,3172021007,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,LANSIA,Dosis 1,2423
2021-10-01,3173021007,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,LANSIA,Dosis 1,3010
2021-10-02,3172051003,JAKARTA UTARA,PADEMANGAN,ANCOL,LANSIA,Dosis 1,1420
2021-10-02,3173041007,JAKARTA BARAT,TAMBORA,ANGKE,LANSIA,Dosis 1,2271
2021-10-02,3175041005,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,LANSIA,Dosis 1,1264
2021-10-02,3175031003,JAKARTA TIMUR,JATINEGARA,BALI MESTER,LANSIA,Dosis 1,1012
2021-10-02,3175101006,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,LANSIA,Dosis 1,1616
2021-10-02,3174031002,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,LANSIA,Dosis 1,1281
2021-10-02,3175051002,JAKARTA TIMUR,PASAR REBO,BARU,LANSIA,Dosis 1,1204
2021-10-02,3175041004,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,LANSIA,Dosis 1,2211
2021-10-02,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,1806
2021-10-02,3175031002,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,LANSIA,Dosis 1,2225
2021-10-02,3174101002,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,LANSIA,Dosis 1,3379
2021-10-02,3174011005,JAKARTA SELATAN,TEBET,BUKIT DURI,LANSIA,Dosis 1,2282
2021-10-02,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,LANSIA,Dosis 1,1474
2021-10-02,3175061007,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,LANSIA,Dosis 1,1938
2021-10-02,3175061004,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,LANSIA,Dosis 1,3015
2021-10-02,3175041007,JAKARTA TIMUR,KRAMAT JATI,CAWANG,LANSIA,Dosis 1,2033
2021-10-02,3175101008,JAKARTA TIMUR,CIPAYUNG,CEGER,LANSIA,Dosis 1,1094
2021-10-02,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LANSIA,Dosis 1,1946
2021-10-02,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LANSIA,Dosis 1,2347
2021-10-02,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,2167
2021-10-02,3173011001,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LANSIA,Dosis 1,4353
2021-10-02,3173011006,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,LANSIA,Dosis 1,4128
2021-10-02,3175091002,JAKARTA TIMUR,CIRACAS,CIBUBUR,LANSIA,Dosis 1,4512
2021-10-02,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,1871
2021-10-02,3174091003,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,LANSIA,Dosis 1,2203
2021-10-02,3175051003,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,LANSIA,Dosis 1,2640
2021-10-02,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,766
2021-10-02,3174081006,JAKARTA SELATAN,PANCORAN,CIKOKO,LANSIA,Dosis 1,781
2021-10-02,3174061001,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,LANSIA,Dosis 1,3909
2021-10-02,3174041003,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,LANSIA,Dosis 1,1344
2021-10-02,3175101002,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,LANSIA,Dosis 1,1261
2021-10-02,3175041006,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,LANSIA,Dosis 1,2304
2021-10-02,3172041001,JAKARTA UTARA,CILINCING,CILINCING,LANSIA,Dosis 1,2109
2021-10-02,3175101001,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,LANSIA,Dosis 1,1728
2021-10-02,3174091006,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,LANSIA,Dosis 1,1935
2021-10-02,3174061005,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,LANSIA,Dosis 1,1855
2021-10-02,3174071010,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,LANSIA,Dosis 1,2015
2021-10-02,3175021003,JAKARTA TIMUR,PULO GADUNG,CIPINANG,LANSIA,Dosis 1,2738
2021-10-02,3175031007,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,LANSIA,Dosis 1,1701
2021-10-02,3175031008,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,LANSIA,Dosis 1,2211
2021-10-02,3175031005,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,LANSIA,Dosis 1,2636
2021-10-02,3175081005,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,LANSIA,Dosis 1,3014
2021-10-02,3175031006,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,LANSIA,Dosis 1,3911
2021-10-02,3174051003,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,LANSIA,Dosis 1,2216
2021-10-02,3175091001,JAKARTA TIMUR,CIRACAS,CIRACAS,LANSIA,Dosis 1,3554
2021-10-02,3175041003,JAKARTA TIMUR,KRAMAT JATI,DUKUH,LANSIA,Dosis 1,1571
2021-10-02,3175071001,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,LANSIA,Dosis 1,4491
2021-10-02,3174081004,JAKARTA SELATAN,PANCORAN,DUREN TIGA,LANSIA,Dosis 1,1860
2021-10-02,3173051005,JAKARTA BARAT,KEBON JERUK,DURI KEPA,LANSIA,Dosis 1,5942
2021-10-02,3173011002,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LANSIA,Dosis 1,4090
2021-10-02,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,1496
2021-10-02,3173041011,JAKARTA BARAT,TAMBORA,DURI SELATAN,LANSIA,Dosis 1,1377
2021-10-02,3173041003,JAKARTA BARAT,TAMBORA,DURI UTARA,LANSIA,Dosis 1,1612
2021-10-02,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,1114
2021-10-02,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,211
2021-10-02,3174061004,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,LANSIA,Dosis 1,1495
2021-10-02,3174071009,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,LANSIA,Dosis 1,2804
2021-10-02,3175051001,JAKARTA TIMUR,PASAR REBO,GEDONG,LANSIA,Dosis 1,2296
2021-10-02,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,277
2021-10-02,3173031007,JAKARTA BARAT,TAMAN SARI,GLODOK,LANSIA,Dosis 1,1477
2021-10-02,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,598
2021-10-02,3173021001,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,LANSIA,Dosis 1,1608
2021-10-02,3174051005,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,LANSIA,Dosis 1,2627
2021-10-02,3174051004,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,LANSIA,Dosis 1,2632
2021-10-02,3174021007,JAKARTA SELATAN,SETIA BUDI,GUNTUR,LANSIA,Dosis 1,513
2021-10-02,3174071002,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,LANSIA,Dosis 1,948
2021-10-02,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,1681
2021-10-02,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,2068
2021-10-02,3175081004,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,LANSIA,Dosis 1,1190
2021-10-02,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,1393
2021-10-02,3174091001,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,LANSIA,Dosis 1,3659
2021-10-02,3175021007,JAKARTA TIMUR,PULO GADUNG,JATI,LANSIA,Dosis 1,3027
2021-10-02,3174041002,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,LANSIA,Dosis 1,2505
2021-10-02,3173071004,JAKARTA BARAT,PALMERAH,JATI PULO,LANSIA,Dosis 1,2101
2021-10-02,3175061001,JAKARTA TIMUR,CAKUNG,JATINEGARA,LANSIA,Dosis 1,3049
2021-10-02,3175021004,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,LANSIA,Dosis 1,1364
2021-10-02,3173021004,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,LANSIA,Dosis 1,3270
2021-10-02,3173021006,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,LANSIA,Dosis 1,3938
2021-10-02,3173041006,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,LANSIA,Dosis 1,1402
2021-10-02,3173041008,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,LANSIA,Dosis 1,1557
2021-10-02,3173081005,JAKARTA BARAT,KEMBANGAN,JOGLO,LANSIA,Dosis 1,2949
2021-10-02,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,2854
2021-10-02,3173041002,JAKARTA BARAT,TAMBORA,KALI ANYAR,LANSIA,Dosis 1,1335
2021-10-02,3172041004,JAKARTA UTARA,CILINCING,KALIBARU,LANSIA,Dosis 1,2719
2021-10-02,3174081002,JAKARTA SELATAN,PANCORAN,KALIBATA,LANSIA,Dosis 1,2202
2021-10-02,3173061001,JAKARTA BARAT,KALI DERES,KALIDERES,LANSIA,Dosis 1,3750
2021-10-02,3175051004,JAKARTA TIMUR,PASAR REBO,KALISARI,LANSIA,Dosis 1,2645
2021-10-02,3173061004,JAKARTA BARAT,KALI DERES,KAMAL,LANSIA,Dosis 1,2032
2021-10-02,3172011002,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,LANSIA,Dosis 1,1038
2021-10-02,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,924
2021-10-02,3175031001,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,LANSIA,Dosis 1,1428
2021-10-02,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,LANSIA,Dosis 1,1388
2021-10-02,3175041002,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,LANSIA,Dosis 1,2177
2021-10-02,3173011005,JAKARTA BARAT,CENGKARENG,KAPUK,LANSIA,Dosis 1,5210
2021-10-02,3172011003,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,LANSIA,Dosis 1,3022
2021-10-02,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LANSIA,Dosis 1,2248
2021-10-02,3174021004,JAKARTA SELATAN,SETIA BUDI,KARET,LANSIA,Dosis 1,730
2021-10-02,3174021003,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,LANSIA,Dosis 1,1130
2021-10-02,3174021002,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,LANSIA,Dosis 1,264
2021-10-02,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,LANSIA,Dosis 1,1089
2021-10-02,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,LANSIA,Dosis 1,2411
2021-10-02,3175011003,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,LANSIA,Dosis 1,1672
2021-10-02,3175021006,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,LANSIA,Dosis 1,3481
2021-10-02,3173031006,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,LANSIA,Dosis 1,1412
2021-10-02,3174041007,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,LANSIA,Dosis 1,2205
2021-10-02,3174051006,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,LANSIA,Dosis 1,2675
2021-10-02,3174051001,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,LANSIA,Dosis 1,2526
2021-10-02,3174011004,JAKARTA SELATAN,TEBET,KEBON BARU,LANSIA,Dosis 1,2624
2021-10-02,3172021005,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,LANSIA,Dosis 1,3049
2021-10-02,3173051001,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,LANSIA,Dosis 1,3091
2021-10-02,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,LANSIA,Dosis 1,1671
2021-10-02,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LANSIA,Dosis 1,1126
2021-10-02,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,LANSIA,Dosis 1,1803
2021-10-02,3175011005,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,LANSIA,Dosis 1,1350
2021-10-02,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,LANSIA,Dosis 1,1671
2021-10-02,3175081003,JAKARTA TIMUR,MAKASAR,KEBON PALA,LANSIA,Dosis 1,2549
2021-10-02,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,LANSIA,Dosis 1,952
2021-10-02,3173011004,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,LANSIA,Dosis 1,1571
2021-10-02,3173051007,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,LANSIA,Dosis 1,2782
2021-10-02,3173051006,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,LANSIA,Dosis 1,4236
2021-10-02,3173051004,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,LANSIA,Dosis 1,1408
2021-10-02,3175091003,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,LANSIA,Dosis 1,3192
2021-10-02,3172061003,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LANSIA,Dosis 1,3749
2021-10-02,3172061001,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LANSIA,Dosis 1,5513
2021-10-02,3173071005,JAKARTA BARAT,PALMERAH,KEMANGGISAN,LANSIA,Dosis 1,2463
2021-10-02,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,LANSIA,Dosis 1,1799
2021-10-02,3173081006,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,LANSIA,Dosis 1,2478
2021-10-02,3173081001,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,LANSIA,Dosis 1,2947
2021-10-02,3171041002,JAKARTA PUSAT,SENEN,KENARI,LANSIA,Dosis 1,909
2021-10-02,3173041005,JAKARTA BARAT,TAMBORA,KERENDANG,LANSIA,Dosis 1,1429
2021-10-02,3175071003,JAKARTA TIMUR,DUREN SAWIT,KLENDER,LANSIA,Dosis 1,3750
2021-10-02,3172031001,JAKARTA UTARA,KOJA,KOJA,LANSIA,Dosis 1,1331
2021-10-02,3173071006,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,LANSIA,Dosis 1,1253
2021-10-02,3173071003,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,LANSIA,Dosis 1,1584
2021-10-02,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,LANSIA,Dosis 1,1908
2021-10-02,3175041001,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,LANSIA,Dosis 1,2060
2021-10-02,3174071003,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,LANSIA,Dosis 1,1182
2021-10-02,3173031002,JAKARTA BARAT,TAMAN SARI,KRUKUT,LANSIA,Dosis 1,1565
2021-10-02,3174031005,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,LANSIA,Dosis 1,703
2021-10-02,3174021008,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,LANSIA,Dosis 1,411
2021-10-02,3171041005,JAKARTA PUSAT,SENEN,KWITANG,LANSIA,Dosis 1,1301
2021-10-02,3172031003,JAKARTA UTARA,KOJA,LAGOA,LANSIA,Dosis 1,2937
2021-10-02,3174061002,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,LANSIA,Dosis 1,2858
2021-10-02,3174091004,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,LANSIA,Dosis 1,2851
2021-10-02,3175101007,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,LANSIA,Dosis 1,3773
2021-10-02,3175081001,JAKARTA TIMUR,MAKASAR,MAKASAR,LANSIA,Dosis 1,2290
2021-10-02,3175071006,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,LANSIA,Dosis 1,2538
2021-10-02,3175071005,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,LANSIA,Dosis 1,2652
2021-10-02,3174031001,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,LANSIA,Dosis 1,871
2021-10-02,3173031005,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,LANSIA,Dosis 1,1073
2021-10-02,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LANSIA,Dosis 1,2349
2021-10-02,3174011007,JAKARTA SELATAN,TEBET,MANGGARAI,LANSIA,Dosis 1,1966
2021-10-02,3174011006,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,LANSIA,Dosis 1,1658
2021-10-02,3173031003,JAKARTA BARAT,TAMAN SARI,MAPHAR,LANSIA,Dosis 1,1865
2021-10-02,3172041003,JAKARTA UTARA,CILINCING,MARUNDA,LANSIA,Dosis 1,1235
2021-10-02,3174071001,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,LANSIA,Dosis 1,391
2021-10-02,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,LANSIA,Dosis 1,1860
2021-10-02,3174021005,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,LANSIA,Dosis 1,1918
2021-10-02,3174011003,JAKARTA SELATAN,TEBET,MENTENG DALAM,LANSIA,Dosis 1,2201
2021-10-02,3173081003,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,LANSIA,Dosis 1,1895
2021-10-02,3173081002,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,LANSIA,Dosis 1,3629
2021-10-02,3175101004,JAKARTA TIMUR,CIPAYUNG,MUNJUL,LANSIA,Dosis 1,1473
2021-10-02,3172051002,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,LANSIA,Dosis 1,4313
2021-10-02,3172051001,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,LANSIA,Dosis 1,3637
2021-10-02,3175011004,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,LANSIA,Dosis 1,1404
2021-10-02,3173071001,JAKARTA BARAT,PALMERAH,PALMERAH,LANSIA,Dosis 1,3851
2021-10-02,3174081001,JAKARTA SELATAN,PANCORAN,PANCORAN,LANSIA,Dosis 1,1199
2021-10-02,3172021003,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,LANSIA,Dosis 1,2276
2021-10-02,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LANSIA,Dosis 1,1802
2021-10-02,3174021006,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,LANSIA,Dosis 1,1924
2021-10-02,3174041001,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,LANSIA,Dosis 1,2125
2021-10-02,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,1751
2021-10-02,3173061005,JAKARTA BARAT,KALI DERES,PEGADUNGAN,LANSIA,Dosis 1,4062
2021-10-02,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,1588
2021-10-02,3172061002,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LANSIA,Dosis 1,5322
2021-10-02,3172011004,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,LANSIA,Dosis 1,6715
2021-10-02,3174041006,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,LANSIA,Dosis 1,2462
2021-10-02,3174041005,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,LANSIA,Dosis 1,2983
2021-10-02,3175051005,JAKARTA TIMUR,PASAR REBO,PEKAYON,LANSIA,Dosis 1,2780
2021-10-02,3173041009,JAKARTA BARAT,TAMBORA,PEKOJAN,LANSIA,Dosis 1,2483
2021-10-02,3174031003,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,LANSIA,Dosis 1,2714
2021-10-02,3174081005,JAKARTA SELATAN,PANCORAN,PENGADEGAN,LANSIA,Dosis 1,1545
2021-10-02,3175061003,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,LANSIA,Dosis 1,4481
2021-10-02,3172011001,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,LANSIA,Dosis 1,4296
2021-10-02,3174101001,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,LANSIA,Dosis 1,1903
2021-10-02,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,1510
2021-10-02,3174071008,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,LANSIA,Dosis 1,951
2021-10-02,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,1241
2021-10-02,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,1671
2021-10-02,3174101004,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,LANSIA,Dosis 1,2344
2021-10-02,3174101003,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,LANSIA,Dosis 1,3138
2021-10-02,3175081002,JAKARTA TIMUR,MAKASAR,PINANG RANTI,LANSIA,Dosis 1,1339
2021-10-02,3173031008,JAKARTA BARAT,TAMAN SARI,PINANGSIA,LANSIA,Dosis 1,1141
2021-10-02,3175011001,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,LANSIA,Dosis 1,2265
2021-10-02,3175021002,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,LANSIA,Dosis 1,2849
2021-10-02,3172011005,JAKARTA UTARA,PENJARINGAN,PLUIT,LANSIA,Dosis 1,7159
2021-10-02,3175071002,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,LANSIA,Dosis 1,4051
2021-10-02,3175071004,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,LANSIA,Dosis 1,5357
2021-10-02,3175071007,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,LANSIA,Dosis 1,2296
2021-10-02,3174061003,JAKARTA SELATAN,CILANDAK,PONDOK LABU,LANSIA,Dosis 1,3151
2021-10-02,3174051002,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,LANSIA,Dosis 1,4654
2021-10-02,3175101003,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,LANSIA,Dosis 1,1278
2021-10-02,3101011003,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU HARAPAN,LANSIA,Dosis 1,119
2021-10-02,3101011002,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU KELAPA,LANSIA,Dosis 1,284
2021-10-02,3101011001,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,LANSIA,Dosis 1,305
2021-10-02,3101021003,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,LANSIA,Dosis 1,157
2021-10-02,3101021002,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,LANSIA,Dosis 1,258
2021-10-02,3101021001,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,LANSIA,Dosis 1,125
2021-10-02,3174071007,JAKARTA SELATAN,KEBAYORAN BARU,PULO,LANSIA,Dosis 1,737
2021-10-02,3175021001,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,LANSIA,Dosis 1,2374
2021-10-02,3175061005,JAKARTA TIMUR,CAKUNG,PULO GEBANG,LANSIA,Dosis 1,5422
